state,district,market,crop,variety,date,min_price,max_price,price_per_kg
andhra pradesh,chittor,chittoor,gur(jaggery),no 2,19-08-2025,3000,3500,3500
andhra pradesh,chittor,palamaner,brinjal,brinjal,19-08-2025,2500,4000,3000
andhra pradesh,chittor,palamaner,ridgeguard(tori),ridgeguard(tori),19-08-2025,2000,3000,2500
andhra pradesh,east godavari,ravulapelem,banana,amruthapani,19-08-2025,2700,3400,3200
andhra pradesh,east godavari,ravulapelem,banana,bhushavali(pacha),19-08-2025,2100,2500,2300
andhra pradesh,east godavari,ravulapelem,banana,chakkarakeli(white),19-08-2025,1800,2800,2500
andhra pradesh,guntur,duggirala,turmeric,finger,19-08-2025,9811,10500,10300
andhra pradesh,guntur,tenali,black gram (urd beans)(whole),black gram (whole),19-08-2025,7400,7800,7600
andhra pradesh,guntur,tenali,black gram (urd beans)(whole),black gram (whole),19-08-2025,6500,7000,6800
andhra pradesh,kurnool,kurnool,groundnut,local,19-08-2025,2566,6819,4653
andhra pradesh,kurnool,yemmiganur,groundnut,tmv-2,19-08-2025,2680,7192,6810
andhra pradesh,nellore,atmakur(sps),cotton,local,19-08-2025,7121,7600,7521
andhra pradesh,visakhapatnam,chintapally,turmeric,finger,19-08-2025,7000,8000,7500
bihar,madhubani,jainagar,onion,medium,19-08-2025,2400,2600,2500
bihar,rohtas,natwar,potato,jyoti,19-08-2025,1200,1400,1300
chandigarh,chandigarh,chandigarh(grain/fruit),mousambi(sweet lime),other,19-08-2025,1500,3500,3000
chandigarh,chandigarh,chandigarh(grain/fruit),plum,other,19-08-2025,5000,7000,6000
chandigarh,chandigarh,chandigarh(grain/fruit),potato,other,19-08-2025,300,1600,1200
gujarat,ahmedabad,mandal,cummin seed(jeera),other,19-08-2025,17005,18375,17750
gujarat,ahmedabad,sanad,paddy(dhan)(common),other,19-08-2025,2116,2488,2302
gujarat,ahmedabad,viramgam,castor seed,castor seed,19-08-2025,6460,6475,6470
gujarat,ahmedabad,viramgam,"sesamum(sesame,gingelly,til)",other,19-08-2025,8590,8915,8750
gujarat,amreli,bagasara,arhar (tur/red gram)(whole),777 new ind,19-08-2025,5000,5200,5100
gujarat,amreli,bagasara,"sesamum(sesame,gingelly,til)",white,19-08-2025,7000,9000,8000
gujarat,amreli,bagasara,soyabean,yellow,19-08-2025,4250,4350,4300
gujarat,amreli,bagasara,wheat,lokwan gujrat,19-08-2025,2555,2615,2585
gujarat,amreli,damnagar,ginger(green),green ginger,19-08-2025,4500,6000,5500
gujarat,amreli,damnagar,guar,gwar,19-08-2025,2800,3500,3200
gujarat,amreli,damnagar,lemon,lemon,19-08-2025,1200,2000,1500
gujarat,amreli,damnagar,tomato,local,19-08-2025,2500,4200,3500
gujarat,amreli,savarkundla,wheat,lokwan,19-08-2025,2250,2825,2500
gujarat,anand,khambhat(veg yard khambhat),tomato,other,19-08-2025,4500,5000,4800
gujarat,banaskanth,vadgam,groundnut,other,19-08-2025,3905,4355,4150
gujarat,bharuch,jambusar(kaavi),castor seed,other,19-08-2025,5400,6200,5800
gujarat,bharuch,jambusar(kaavi),cotton,other,19-08-2025,5600,6200,5900
gujarat,bharuch,jambusar(kaavi),jowar(sorghum),other,19-08-2025,3300,3900,3600
gujarat,botad,botad,bengal gram(gram)(whole),other,19-08-2025,4375,5780,5050
gujarat,botad,botad,corriander seed,other,19-08-2025,4450,4450,4450
gujarat,botad,botad,jowar(sorghum),other,19-08-2025,3150,4055,3650
gujarat,botad,botad(haddad),cotton,shanker 6 (b) 30mm fine,19-08-2025,7000,7000,7000
gujarat,chhota udaipur,kalediya,cotton,shanker 6 (b) 30mm fine,19-08-2025,6800,6950,6900
gujarat,dahod,dahod,arhar (tur/red gram)(whole),other,19-08-2025,5300,5600,5400
gujarat,dahod,dahod,bengal gram(gram)(whole),other,19-08-2025,6125,6150,6135
gujarat,dahod,dahod(veg. market),bottle gourd,bottle gourd,19-08-2025,300,1500,900
gujarat,dahod,dahod(veg. market),brinjal,brinjal,19-08-2025,400,2500,1450
gujarat,dahod,dahod(veg. market),coriander(leaves),coriander,19-08-2025,1500,6000,3750
gujarat,dahod,dahod(veg. market),onion,onion,19-08-2025,800,1300,1050
gujarat,dahod,dahod(veg. market),potato,potato,19-08-2025,1400,1500,1450
gujarat,dahod,limkheda,maize,other,19-08-2025,2350,2400,2375
gujarat,gandhinagar,dehgam,castor seed,other,19-08-2025,6350,6400,6375
gujarat,gandhinagar,dehgam,paddy(dhan)(common),other,19-08-2025,1875,2250,2062
gujarat,gandhinagar,dehgam(rekhiyal),paddy(dhan)(common),other,19-08-2025,1825,2175,2000
gujarat,jamnagar,dhrol,wheat,other,19-08-2025,2105,2570,2340
gujarat,kheda,kapadvanj,tomato,other,19-08-2025,4000,4500,4200
gujarat,kheda,matar(limbasi),paddy(dhan)(common),other,19-08-2025,2315,2365,2345
gujarat,kheda,nadiad,potato,other,19-08-2025,1800,2000,1900
gujarat,kheda,nadiad,potato,other,19-08-2025,1300,1500,1400
gujarat,kheda,nadiyad(chaklasi),bhindi(ladies finger),bhindi,19-08-2025,1500,1800,1600
gujarat,kheda,nadiyad(chaklasi),potato,potato,19-08-2025,900,1000,950
gujarat,kheda,nadiyad(piplag),bhindi(ladies finger),bhindi,19-08-2025,1500,2000,1750
gujarat,kheda,nadiyad(piplag),tomato,tomato,19-08-2025,2000,2500,2200
gujarat,mehsana,unava,castor seed,other,19-08-2025,6500,6530,6525
gujarat,mehsana,vijapur(gojjariya),castor seed,other,19-08-2025,6480,6480,6480
gujarat,navsari,navsari,lemon,lemon,19-08-2025,5000,6000,5500
gujarat,panchmahals,morva hafad,wheat,other,19-08-2025,2400,2500,2450
gujarat,patan,siddhpur,castor seed,castor seed,19-08-2025,6250,6555,6402
gujarat,porbandar,porbandar,green chilli,green chilly,19-08-2025,3000,4000,3500
gujarat,porbandar,porbandar,water melon,other,19-08-2025,2000,2500,2250
gujarat,rajkot,dhoraji,soyabean,yellow,19-08-2025,4330,4405,4375
gujarat,rajkot,gondal(veg.market gondal),bhindi(ladies finger),bhindi,19-08-2025,500,2000,1250
gujarat,rajkot,gondal(veg.market gondal),carrot,carrot,19-08-2025,1500,3500,2500
gujarat,rajkot,gondal(veg.market gondal),cauliflower,cauliflower,19-08-2025,1000,2500,1750
gujarat,rajkot,gondal(veg.market gondal),cucumbar(kheera),cucumbar,19-08-2025,200,2000,1100
gujarat,rajkot,gondal(veg.market gondal),potato,potato,19-08-2025,200,330,265
gujarat,rajkot,gondal(veg.market gondal),tomato,tomato,19-08-2025,3000,6500,4750
gujarat,rajkot,rajkot,corriander seed,coriander seed,19-08-2025,6900,7300,7150
gujarat,rajkot,rajkot,groundnut,bold,19-08-2025,4500,5595,5125
gujarat,rajkot,rajkot,wheat,lokwan,19-08-2025,2525,2635,2605
gujarat,rajkot,rajkot,wheat,sharbati,19-08-2025,2555,2925,2700
gujarat,sabarkantha,malpur,wheat,other,19-08-2025,2350,2425,2387.5
gujarat,surat,bardoli(katod),brinjal,other,19-08-2025,1200,2500,1850
gujarat,surat,surat,bitter gourd,other,19-08-2025,1500,3000,2250
gujarat,surat,surat,bottle gourd,other,19-08-2025,2000,4000,3000
gujarat,surat,surat,cabbage,other,19-08-2025,500,1200,850
gujarat,surat,surat,capsicum,other,19-08-2025,2000,3500,2750
gujarat,surat,surat,french beans (frasbean),other,19-08-2025,3000,5000,4000
gujarat,surat,surat,pointed gourd (parval),other,19-08-2025,2000,4000,3000
gujarat,surat,surat,tomato,other,19-08-2025,2500,5500,4000
gujarat,surat,surat,yam (ratalu),other,19-08-2025,6000,17500,11750
gujarat,surendranagar,chotila,wheat,local,19-08-2025,2250,2650,2450
gujarat,surendranagar,vadhvan,banana,other,19-08-2025,2000,3000,2500
gujarat,surendranagar,vadhvan,cauliflower,cauliflower,19-08-2025,1500,2000,1750
gujarat,surendranagar,vadhvan,coriander(leaves),coriander,19-08-2025,500,1000,750
gujarat,surendranagar,vadhvan,peas wet,peas wet,19-08-2025,12500,13000,12750
gujarat,surendranagar,vadhvan,potato,potato,19-08-2025,1500,2000,1750
gujarat,surendranagar,vadhvan,spinach,spinach,19-08-2025,500,750,625
gujarat,vadodara(baroda),padra,cluster beans,other,19-08-2025,2000,2750,2400
gujarat,vadodara(baroda),padra,cucumbar(kheera),other,19-08-2025,1000,2500,1750
gujarat,vadodara(baroda),padra,drumstick,other,19-08-2025,3500,4000,3750
gujarat,vadodara(baroda),padra,tomato,other,19-08-2025,2000,5500,4000
haryana,ambala,ambala cantt.,banana,other,19-08-2025,2000,2600,2200
haryana,ambala,ambala cantt.,brinjal,brinjal,19-08-2025,1000,1500,1200
haryana,ambala,barara,banana,other,19-08-2025,2200,2500,2200
haryana,ambala,barara,bhindi(ladies finger),other,19-08-2025,1000,1200,1200
haryana,ambala,barara,cauliflower,other,19-08-2025,700,700,700
haryana,ambala,barara,coriander(leaves),coriander,19-08-2025,1200,2000,1500
haryana,ambala,barara,cucumbar(kheera),other,19-08-2025,700,700,700
haryana,ambala,barara,green chilli,other,19-08-2025,1500,2000,1500
haryana,ambala,barara,mango,other,19-08-2025,3500,4000,3500
haryana,ambala,barara,pineapple,other,19-08-2025,3000,3500,3000
haryana,gurgaon,gurgaon,mango,other,19-08-2025,5000,10000,7500
haryana,gurgaon,sohna,bhindi(ladies finger),bhindi,19-08-2025,1500,2500,1800
haryana,gurgaon,sohna,bottle gourd,bottle gourd,19-08-2025,1200,1800,1500
haryana,gurgaon,sohna,cucumbar(kheera),cucumbar,19-08-2025,1200,2000,1800
haryana,gurgaon,sohna,guava,guava,19-08-2025,1500,1500,1500
haryana,hissar,barwala(hisar),guava,other,19-08-2025,1500,1600,1550
haryana,hissar,barwala(hisar),pumpkin,other,19-08-2025,900,1000,950
haryana,hissar,hansi,bitter gourd,other,19-08-2025,3000,4000,3500
haryana,hissar,hansi,bottle gourd,other,19-08-2025,1500,2000,1800
haryana,hissar,hansi,brinjal,other,19-08-2025,2000,3000,2500
haryana,hissar,hansi,chikoos(sapota),other,19-08-2025,5000,7000,6000
haryana,hissar,hansi,lemon,other,19-08-2025,3000,5000,4000
haryana,hissar,hansi,potato,other,19-08-2025,1000,3500,1500
haryana,hissar,hansi,raddish,other,19-08-2025,3000,4000,3500
